<EMAIL>sbell@aellab.com</EMAIL><LAB EDD>T2023543(ADAPT).csv</LAB EDD><FIELD EDD>T2023543(ADAPT Field).csv</FIELD EDD>
"Export_User","Export_DateTime","Facility_ID","TestSite_ID","Facility_Name","TestSite_Name","Well_Purged","Sample_ID","Sample_Date","Sample_Method","Sample_Filtered","Matrix","STORET_Code","Parameter","Lab_Cert_Numb","Prep_Date","Prep_Method","Preserv_Intact","Analysis_Date","Analysis_Method","Result","Units","Qualifier","Detection_Limit","Comments","Report_Type","Key","Rev","Testsite Table","Program_Area","Client_Analyte_ID","Error","Dilution","Percent_Moisture","Reporting_Limit"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-33","Y","MW-33","2020/12/18 10:54:00","PP","NA","W","000010","Temperature, Water","NA","12/18/2020 10:54:00","NA","NA","2020/12/18 10:54:00","SM2550 B","22.6","Deg C","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-36","Y","MW-36","2020/12/18 11:20:00","PP","NA","W","000010","Temperature, Water","NA","12/18/2020 11:20:00","NA","NA","2020/12/18 11:20:00","SM2550 B","21.1","Deg C","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-35","Y","MW-35","2020/12/18 11:45:00","PP","NA","W","000010","Temperature, Water","NA","12/18/2020 11:45:00","NA","NA","2020/12/18 11:45:00","SM2550 B","21.7","Deg C","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-34","Y","MW-34","2020/12/18 12:11:00","PP","NA","W","000010","Temperature, Water","NA","12/18/2020 12:11:00","NA","NA","2020/12/18 12:11:00","SM2550 B","20.6","Deg C","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-29R","Y","MW-29R","2020/12/18 12:36:00","PP","NA","W","000010","Temperature, Water","NA","12/18/2020 12:36:00","NA","NA","2020/12/18 12:36:00","SM2550 B","21.8","Deg C","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-32","Y","MW-32","2020/12/18 13:00:00","PP","NA","W","000010","Temperature, Water","NA","12/18/2020 13:00:00","NA","NA","2020/12/18 13:00:00","SM2550 B","23.3","Deg C","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-12R","Y","MW-12R","2020/12/18 13:27:00","PP","NA","W","000010","Temperature, Water","NA","12/18/2020 13:27:00","NA","NA","2020/12/18 13:27:00","SM2550 B","23.1","Deg C","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-28RR","Y","MW-28RR","2020/12/18 13:53:00","PP","NA","W","000010","Temperature, Water","NA","12/18/2020 13:53:00","NA","NA","2020/12/18 13:53:00","SM2550 B","19.7","Deg C","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-31R","Y","MW-31R","2020/12/18 14:20:00","PP","NA","W","000010","Temperature, Water","NA","12/18/2020 14:20:00","NA","NA","2020/12/18 14:20:00","SM2550 B","20.9","Deg C","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-33","Y","MW-33","2020/12/18 10:54:00","PP","NA","W","000094","Specific Conductance","NA","12/18/2020 10:54:00","NA","NA","2020/12/18 10:54:00","EPA 120.1","660","umhos/cm","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-36","Y","MW-36","2020/12/18 11:20:00","PP","NA","W","000094","Specific Conductance","NA","12/18/2020 11:20:00","NA","NA","2020/12/18 11:20:00","EPA 120.1","360","umhos/cm","D",,,"SEMGW","*********",,,"PRP",,,,,
